"Company","Location","Business Model","Pricing Strategy","Target Market","Revenue/Funding Stage","Strengths","Weaknesses","Exploitable Gap"
"**[Umrahme][8]**","Dubai, UAE","B2C OTA","Commission per booking","GCC, SEA, diaspora","Backed by Certares & Global Ventures","Nusuk-accredited, holistic packages","No in-trip or offline features","Add Ritual Mode + licensed marketplace"
"**[Zamzam.com][10]**","Jeddah, KSA","B2B/B2C OTA","Package pricing","Global pilgrims","JV with TBO; undisclosed funding","Visa + hotel integration, multilingual support","No exploration/offline features","Curated city plans + licensed services"
"**[TBO Umrah][11]**","UAE/KSA","B2B OTA","Agency commission-based","Travel agents (GCC/SEA)","Regional player","Agent distribution network","No D2C presence or in-trip UX","D2C Ritual Mode + upsell via agents"
"**[Funadiq][15]**","Pakistan/KSA","B2C OTA via Maqam GDS","OTA package pricing","Global pilgrims via GDS","Limited public data","Maqam-certified GDS connectivity","No in-trip concierge or exploration features","Integrate Ritual Mode + curated city plans"
"**[Almosafer][12] / [Seera][14]**","Riyadh, KSA","OTA","OTA pricing","KSA/global travelers","Seera publicly held (\~\$1.6B rev est.)","Brand, supply breadth","Not fiqh-aware, generic UX","Add Ritual Mode + exploration overlay ([Zawya][12])"
"**[Flynas (Umrah Services)][26]**","Riyadh, KSA","Airline + Umrah packages","Dynamic bundle pricing","Budget pilgrims","Airline revenue significant","Transport integrated with tours","No offline/ritual guidance","Layer Ritual Mode + Ziyarah Explorer"
"**[Saudia Airlines Packages][27]**","Jeddah, KSA","Airline + Umrah bundles","Package pricing (PKR 60k–180k est.)","Pakistani & SEA pilgrims","Government carrier","Trust, flight + stay bundles","No pilgrimage-specific UI","Add Ritual Mode integration"
"**[Amal (Malaysia Airlines)][28]**","Kuala Lumpur","Chartered Umrah arm","Charter/package pricing","SEA markets","Owned by Malaysia Aviation Group","Religious flight brand positioning","No in-destination tools","Bundle Ritual Mode + licensed services"
"**[Muslim Pro (Umrah)][29]**","Global (App)","App-based booking links","Commission from OTA fees","Muslim diaspora","170M+ downloads, strong base","Nusuk integration, massive user base","No offline support or licensing transparency","Offline Ritual Mode + licensed marketplace"
"**[HalalTrip][16]**","Singapore","Content + OTA","Commission/ad revenue","Global Muslim travelers","Backed by CrescentRating","SEO + content-driven reach","No Umrah concierge or licensed services","Integrate ritual content + licensed bookings"
"**[ShareTrip][30]**","Bangladesh","OTA: flight/hotel/packages","OTA pricing","Bangladeshi/Muslim travelers","Leading OTA in BD","Full travel stack: visa, flights, packages","No in-trip ritual features","Embed Ritual Mode + offer licensed service bundles"
"**[GoZayaan][31]**","Bangladesh","OTA","Flight deals: BDT 49k–190k","Bangladeshi travelers","Emerging OTA","Flight comparison & deals","No pilgrimage-specific UX or ritual tools","Bundle offline Ritual Mode + local service marketplace"
"**[AmarSafar][32]**","Bangladesh","B2B2C Travel Marketplace","OTA-style pricing","Agencies & travelers","Local focus; app-based","One-stop travel services: visa, flights, tours","Not pilgrimage-specific","Add Ritual & Ziyarah features + licensed services"
